id,user_id,name,url_part,accessory
86988,4685784,"Explay 4GAME",explay_4game,
87033,4683689,"Honor 10",honor_10,
87034,4683689,"Honor 3",huawei_honor_3,
87128,4679055,"Xiaomi Redmi Note 4X Snapdragon 4/64",xiaomi_redmi_note_4x:snapdragon_4_64,
87129,4679055,"Wileyfox Swift",wileyfox_swift,
87130,4679055,"Jiayu G3C",jiayu_g3c,
87131,4679055,"Nokia 5530 XpressMusic",nokia_5530_xpressmusic,
87132,4679055,"Asus P505",asus_p505,
87276,4672546,"Prestigio MultiPhone 5400 DUO",prestigio_multiphone_5400_duo,
87318,4671268,NULL,,
87319,4671268,"Oukitel К10000",oukitel_k10000,
87327,4671221,"Sony Xperia E1 Dual",sony_xperia_e1_dual,
87328,4671221,"HP iPAQ rx3715",hp_ipaq_rx3715,
87329,4671221,"Irbis TZ62",irbis_tz62,
87330,4671221,"Samsung Galaxy Pocket GT-S5300",samsung_gt_s5300_galaxy_pocket,
87331,4671221,"Motorola RAZR V3",motorola_razr_v3,
87464,4665172,"Samsung Galaxy Core GT-I8262",samsung_gt_i8262_galaxy_core,"Nokia 1100"
87490,4664006,"Lenovo P70-A",lenovo_p70_a,
87491,4664006,"Lenovo Yoga Tablet 10",lenovo_yoga_tablet_10,
87521,4662902,"Meizu Pro 6 ",meizu_pro_6,
87551,4662202,"LeTV One Pro X800",letv_one_pro,
87552,4662202,"OnePlus One",oneplus_one,
87571,4661387,"Apple iPhone X",apple_iphone_x,"Apple Watch "
87617,4659592,"Xiaomi Redmi 4 Prime",xiaomi_redmi_4:prime,"Xiaomi mi band 2"
87618,4659592,"Meizu M2 Note",meizu_m2_note,"Xiaomi mi band 1s"
87619,4659592,"DNS AirTab M100qw",dns_airtab_m100qw,"Xiaomi gamepad"
87651,4658754,"Xiaomi Redmi Note 4X Snapdragon 3/32",xiaomi_redmi_note_4x,
87717,4656386,"Samsung Galaxy Note 10.1",samsung_galaxy_note_10_1,
87830,4652228,"Explay HD",explay_hd,
87831,4652228,"Apple iPhone 6 Plus",iphone_6_plus,
87832,4652228,"Prestigio MultiPad 4 Quantum 10.1 PMP5101C_QUAD",prestigio_multipad_4_quantum_10_1,
87901,4649867,"Sony Xperia Z",sony_xperia_z,
87908,4649541,"Xiaomi Redmi 3",xiaomi_redmi_3,
87913,4649410,"Apple iPhone 5",apple_iphone_5,
87916,4649367,"Xiaomi Redmi Note 4X Snapdragon 3/32",xiaomi_redmi_note_4x,
87972,4646814,"Samsung Galaxy Note 4 SM-N910F",samsung_galaxy_note_4:sm_n910f,N910V
